0.0383 , -0.9929 , -0.3228 , -5.2824 , -29.2977 , -5.1298 , open
-0.0034 , -0.9929 , -0.3555 , -2.6336 , -17.1527 , -2.6565 , open
0.03 , -0.9968 , -0.3535 , -0.8321 , -1.4809 , -1.5725 , open
-0.1084 , -1.0166 , -0.1523 , -0.0382 , 78.5038 , 9.5573 , open
-0.0815 , -1.0239 , -0.1365 , 0.1221 , 72.687 , 8.7405 , open
-0.0818 , -1.0247 , -0.1289 , 0.229 , 65.3893 , 7.855 , open
-0.0664 , -1.0334 , -0.155 , 0.1069 , 56.0 , 6.6718 , open
-0.02 , -1.0469 , -0.0369 , -0.9542 , 43.4275 , 5.0382 , open
-0.0103 , -1.032 , -0.0225 , -1.7557 , 26.5496 , 2.3588 , open
-0.0059 , -1.0496 , -0.0217 , -1.4427 , 7.9084 , -0.084 , open
-0.134 , -1.0195 , -0.1638 , -0.7634 , -88.0229 , -13.9237 , open
-0.0867 , -0.998 , -0.2871 , -1.9084 , -84.6183 , -13.2137 , open
-0.0706 , -1.0071 , -0.324 , -2.5267 , -71.8015 , -11.0229 , open
-0.0356 , -1.001 , -0.304 , -2.3359 , -58.9008 , -9.5038 , open
-0.031 , -0.9958 , -0.3464 , -1.3359 , -45.9924 , -8.1985 , open
0.0122 , -0.9998 , -0.335 , -2.8473 , -31.1145 , -5.4046 , open
0.0164 , -1.0034 , -0.3125 , -0.9542 , -16.6794 , -3.8702 , open
0.009 , -1.0303 , -0.2605 , -1.145 , -6.6565 , -2.2595 , open
0.0293 , -1.0122 , -0.2576 , -1.2901 , -1.8092 , -2.0687 , open

